I.1. UANG BEREDAR DAN FAKTOR-FAKTOR YANG MEMPENGARUHINYA ¹;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;I.1.  BROAD MONEY AND ITS AFFECTING FACTORS ¹;;;;;;;;;;;;
(Miliar Rp);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(Billions of Rp);;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;KETERANGAN;2010;;;;;;;;;;;;;;2011;;;;;;;;;;;;;2012;;;;;;;;;;;;;2013;;;;;;;;;;;;;2014;;;;;;;;;;;;;2015;;;;;;;;;;;;;2016;;;;;;;;;;;;;2017;;;;;;;;;;;;;2018;;;;;;;;;;;;;2019;;;;;;;;;;;;;2020;;;;;;;;;;;;;2021;;;;;;;;;;;;;;;;;;;;;2022;;;ITEMS;
;;;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;;Oct;Nov;Dec;;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep*;;;;
1;;Uang Beredar Luas(M2);2.073.860;2.066.481;2.112.083;2.116.024;2.143.234;2.231.144;2.217.589;2.236.459;2.274.955;;2.308.846;2.347.807;2.471.206;2.471.206;2.436.679;2.420.191;2.451.357;2.434.478;2.475.286;2.522.784;2.564.556;2.621.346;2.643.331;2.677.787;2.729.538;2.877.220;2.877.220;2.857.127;2.852.005;2.914.194;2.929.610;2.994.474;3.052.786;3.057.336;3.091.568;3.128.179;3.164.443;3.207.908;3.307.508;3.307.508;3.268.789;3.280.420;3.322.529;3.360.928;3.426.305;3.413.379;3.506.574;3.502.420;3.584.081;3.576.869;3.616.049;3.730.409;3.730.409;3.652.349;3.635.060;3.652.531;3.721.882;3.780.955;3.857.962;3.887.407;3.886.520;4.010.147;4.024.489;4.076.670;4.173.327;4.173.327;4.174.826;4.218.123;4.246.361;4.275.711;4.288.369;4.358.802;4.373.208;4.404.085;4.508.603;4.443.078;4.452.325;4.548.800;4.548.800;4.498.361;4.521.951;4.561.873;4.581.878;4.614.062;4.737.451;4.730.380;4.746.027;4.737.631;4.778.479;4.868.651;5.004.977;5.004.977;4.936.882;4.942.920;5.017.644;5.033.780;5.126.370;5.225.166;5.178.079;5.219.648;5.254.139;5.284.320;5.321.432;5.419.165;5.419.165;5.351.685;5.351.650;5.395.826;5.409.089;5.435.083;5.534.150;5.507.792;5.529.452;5.606.780;5.667.512;5.670.975;5.760.046;5.760.046;5.644.985;5.670.778;5.747.247;5.746.732;5.860.509;5.908.509;5.941.133;5.934.562;6.004.277;6.026.909;6.074.377;6.136.777;6.136.777;6.047.999;6.118.514;6.441.495;6.236.651;6.465.362;6.391.612;6.566.671;6.730.994;6.748.814;6.782.147;6.821.198;6.905.939;6.905.939;6.767.408;6.817.788;6.895.564;6.964.386;7.004.093;7.130.061;7.160.560;7.211.501;7.300.921;7.491.704;7.573.320;7.870.453;7.870.453;7.646.789;7.690.135;7.810.949;7.911.484;7.854.187;7.890.747;7.845.552;7.897.628;7.962.693;;;Broad Money (M2);1
2;;Uang Beredar Sempit (M1);496.527;490.084;494.461;494.718;514.005;545.405;539.746;555.495;549.941;;555.549;571.337;605.411;605.411;604.169;585.890;580.601;584.634;611.791;636.206;639.688;662.806;656.096;665.000;667.587;722.991;722.991;696.281;683.208;714.215;720.876;749.403;779.367;771.739;772.378;795.460;774.923;801.345;841.652;841.652;787.860;786.549;810.055;832.213;822.876;858.499;879.986;855.783;867.715;856.171;870.412;887.084;887.084;842.678;834.532;853.502;880.470;906.727;945.718;918.566;895.827;949.168;940.349;955.535;942.221;942.221;918.079;927.848;957.580;959.376;980.915;1.039.518;1.031.906;1.026.323;1.063.039;1.036.311;1.051.191;1.055.440;1.055.440;1.046.257;1.035.551;1.064.738;1.089.212;1.118.768;1.184.329;1.144.501;1.135.548;1.126.046;1.142.786;1.182.730;1.237.643;1.237.643;1.191.500;1.196.037;1.215.857;1.245.927;1.275.893;1.341.851;1.293.235;1.274.803;1.304.374;1.325.762;1.338.143;1.390.807;1.390.807;1.326.742;1.351.258;1.361.135;1.372.576;1.404.627;1.452.354;1.383.503;1.384.265;1.411.673;1.410.578;1.405.264;1.457.150;1.457.150;1.376.136;1.386.329;1.428.607;1.454.279;1.508.040;1.513.520;1.487.802;1.475.544;1.508.818;1.504.156;1.553.134;1.565.439;1.565.439;1.484.500;1.505.491;1.648.728;1.576.444;1.653.529;1.637.725;1.683.270;1.765.211;1.780.692;1.782.221;1.799.008;1.855.693;1.855.693;1.762.296;1.784.763;1.827.391;1.850.951;1.861.767;1.915.429;1.933.291;1.938.390;1.968.434;2.071.418;2.114.703;2.282.200;2.282.200;2.149.552;2.195.618;2.254.591;2.327.208;2.302.911;2.339.450;2.296.045;2.279.163;2.320.883;;;Narrow Money (M1);2
3;;Uang Kartal di Luar Bank Umum dan BPR;211.811;211.708;205.083;211.390;214.695;222.828;228.239;241.166;229.825;;235.709;238.500;260.227;260.227;247.481;245.327;241.618;252.013;254.066;261.504;275.437;324.725;279.224;281.341;279.066;307.760;307.760;286.200;280.058;287.003;290.812;294.722;314.621;315.322;327.008;325.508;326.058;327.011;361.897;361.897;326.829;321.483;331.169;324.333;334.033;347.146;383.932;359.417;360.079;363.797;375.780;399.609;399.609;380.070;367.652;377.438;372.342;380.474;381.638;452.788;399.270;395.230;396.113;405.694;419.262;419.262;391.256;387.889;382.005;395.687;406.499;409.713;431.460;423.101;428.860;435.065;437.756;469.534;469.534;439.872;422.149;420.214;435.296;440.660;511.295;474.246;466.502;469.542;467.318;476.850;508.124;508.124;470.250;462.413;468.942;483.042;485.124;561.821;517.810;527.098;523.360;519.861;537.298;586.576;586.576;532.131;531.209;549.216;549.587;580.625;605.973;583.306;587.788;590.805;581.592;586.236;625.370;625.370;579.294;570.435;585.579;592.935;675.635;625.354;619.652;622.452;614.231;611.081;622.384;654.764;654.764;616.227;607.962;620.400;634.192;684.963;651.792;668.185;666.739;674.412;707.831;712.556;760.112;760.112;712.529;698.227;692.478;732.644;743.534;739.006;758.703;750.510;748.616;766.704;775.051;831.234;831.234;765.015;795.951;792.518;896.318;820.155;815.316;822.043;805.459;807.818;;;Currency Outside Commercial and Rural Banks;3
4;;Simpanan Giro Rupiah;284.716;278.376;289.378;283.327;299.310;322.577;311.507;314.328;320.117;;319.840;332.837;345.184;345.184;356.688;340.563;338.984;332.621;357.725;374.702;364.251;338.081;376.872;383.659;388.521;415.231;415.231;410.082;403.150;427.212;430.064;454.682;464.746;456.417;445.370;469.952;448.864;474.334;479.755;479.755;461.031;465.065;478.886;507.880;488.843;511.353;496.054;496.365;507.636;492.374;494.632;487.475;487.475;462.608;466.881;476.065;508.129;526.253;564.080;465.778;496.557;553.939;544.236;549.841;522.960;522.960;526.824;539.958;575.576;563.690;574.416;629.805;600.446;603.222;634.178;601.246;613.435;585.906;585.906;606.385;613.401;644.524;653.916;678.108;673.034;670.255;669.047;656.504;675.468;705.880;729.519;729.519;721.249;733.624;746.915;762.885;790.769;780.030;775.425;747.705;781.014;805.901;800.846;804.231;804.231;794.611;820.049;811.919;822.989;824.002;846.382;800.197;796.477;820.868;828.986;819.028;831.779;831.779;796.842;815.894;843.027;861.343;832.405;888.166;868.149;853.092;894.587;893.075;930.751;910.675;910.675;868.273;897.529;1.028.328;942.253;968.566;985.933;1.015.085;1.098.471;1.106.280;1.074.390;1.086.451;1.095.580;1.095.580;1.049.766;1.086.537;1.134.913;1.118.307;1.118.233;1.176.423;1.174.588;1.187.880;1.219.818;1.304.714;1.339.652;1.450.967;1.450.967;1.384.536;1.399.667;1.462.073;1.430.891;1.482.756;1.524.134;1.474.003;1.473.704;1.513.065;;;Rupiah Demand Deposits;4
5;;Uang Kuasi;1.570.059;1.568.632;1.611.373;1.615.203;1.622.981;1.680.374;1.672.443;1.676.517;1.720.039;;1.747.976;1.769.654;1.856.720;1.856.720;1.822.268;1.823.771;1.862.788;1.841.377;1.853.915;1.876.446;1.914.444;1.943.770;1.973.573;2.000.315;2.047.205;2.139.840;2.139.840;2.147.437;2.153.062;2.185.208;2.193.285;2.229.990;2.256.809;2.272.665;2.307.083;2.321.262;2.378.880;2.396.157;2.455.435;2.455.435;2.470.101;2.483.011;2.500.342;2.515.813;2.588.094;2.543.285;2.608.175;2.625.946;2.691.972;2.697.734;2.720.945;2.820.521;2.820.521;2.787.449;2.787.035;2.785.176;2.828.686;2.860.135;2.903.415;2.959.732;2.982.674;3.044.842;3.066.421;3.099.350;3.209.475;3.209.475;3.233.881;3.278.945;3.275.499;3.302.204;3.293.147;3.305.641;3.325.908;3.362.148;3.426.343;3.391.260;3.386.209;3.479.961;3.479.961;3.436.492;3.473.033;3.483.694;3.479.713;3.483.442;3.539.326;3.573.997;3.596.408;3.599.248;3.622.679;3.671.427;3.753.809;3.753.809;3.731.093;3.732.699;3.783.893;3.771.124;3.833.507;3.866.025;3.866.731;3.925.677;3.930.659;3.939.212;3.964.507;4.009.996;4.009.996;4.006.565;3.983.463;4.018.929;4.020.982;4.015.794;4.066.586;4.107.208;4.128.708;4.177.276;4.237.684;4.246.310;4.282.364;4.282.364;4.248.576;4.264.672;4.299.148;4.272.092;4.334.710;4.379.037;4.435.433;4.435.064;4.470.662;4.497.071;4.495.761;4.545.357;4.545.357;4.536.780;4.586.376;4.764.589;4.635.642;4.787.411;4.732.922;4.864.634;4.946.304;4.946.776;4.977.350;4.998.174;5.027.027;5.027.027;4.983.838;5.012.979;5.049.972;5.095.802;5.124.161;5.198.175;5.210.210;5.252.508;5.311.398;5.400.094;5.438.523;5.565.578;5.565.578;5.474.170;5.470.961;5.529.751;5.556.189;5.524.848;5.526.503;5.530.342;5.598.840;5.620.749;;;Quasi Money;5
6;;Simpanan Berjangka;866.010;873.909;903.846;907.623;912.901;932.170;920.693;920.256;942.007;;969.142;976.972;1.003.054;1.003.054;988.169;978.973;1.013.836;991.390;998.875;1.004.969;1.033.555;1.050.423;1.064.644;1.082.730;1.092.069;1.121.962;1.121.962;1.136.127;1.145.613;1.172.080;1.170.735;1.187.859;1.182.373;1.189.657;1.203.434;1.212.922;1.249.974;1.250.851;1.245.869;1.245.869;1.254.777;1.269.784;1.307.970;1.311.611;1.352.649;1.314.787;1.345.494;1.353.141;1.381.793;1.387.322;1.379.904;1.425.153;1.425.153;1.431.975;1.438.820;1.468.474;1.499.828;1.522.823;1.569.825;1.597.991;1.629.380;1.665.844;1.680.642;1.694.565;1.729.883;1.729.883;1.788.607;1.846.809;1.849.279;1.862.403;1.858.171;1.829.226;1.827.817;1.847.921;1.864.257;1.856.508;1.835.416;1.845.617;1.845.617;1.863.458;1.899.075;1.919.876;1.915.725;1.920.646;1.897.786;1.947.242;1.954.711;1.939.483;1.971.367;1.983.967;1.986.832;1.986.832;2.007.128;2.031.853;2.079.368;2.084.139;2.111.341;2.097.356;2.119.276;2.165.678;2.159.701;2.153.850;2.147.137;2.124.289;2.124.289;2.146.969;2.127.897;2.170.876;2.174.669;2.124.542;2.126.113;2.161.551;2.196.992;2.203.715;2.237.552;2.221.315;2.233.782;2.233.782;2.266.488;2.302.237;2.335.834;2.326.960;2.329.454;2.326.170;2.357.406;2.384.142;2.390.446;2.424.583;2.399.081;2.353.391;2.353.391;2.397.420;2.448.284;2.466.067;2.422.437;2.464.101;2.461.023;2.558.910;2.594.451;2.582.854;2.632.515;2.589.593;2.555.399;2.555.399;2.557.743;2.577.367;2.560.132;2.571.590;2.591.461;2.602.829;2.611.551;2.619.537;2.637.755;2.652.687;2.660.726;2.675.774;2.675.774;2.661.784;2.642.674;2.622.372;2.611.138;2.589.607;2.578.437;2.586.567;2.611.452;2.637.014;;;Time Deposits;6
7;;Rupiah;736.999;744.823;772.718;780.475;789.142;808.099;792.881;789.119;809.958;;834.274;842.690;872.921;872.921;864.039;854.852;885.197;869.445;878.771;887.394;909.234;923.986;933.931;953.045;956.480;981.445;981.445;994.956;999.990;1.023.430;1.022.250;1.028.673;1.017.611;1.018.935;1.031.917;1.032.542;1.062.115;1.060.673;1.068.361;1.068.361;1.081.162;1.100.028;1.125.587;1.133.237;1.156.744;1.116.098;1.135.139;1.131.948;1.148.985;1.168.285;1.171.478;1.188.227;1.188.227;1.209.579;1.224.927;1.254.599;1.286.559;1.293.750;1.331.090;1.364.886;1.396.816;1.418.043;1.444.455;1.456.531;1.475.405;1.475.405;1.523.779;1.570.171;1.572.159;1.589.189;1.578.151;1.558.880;1.567.873;1.583.437;1.593.854;1.600.315;1.583.419;1.587.872;1.587.872;1.607.377;1.656.983;1.683.264;1.687.799;1.698.979;1.681.578;1.727.385;1.726.690;1.715.576;1.742.419;1.740.212;1.726.439;1.726.439;1.754.062;1.764.133;1.812.809;1.816.546;1.837.399;1.830.942;1.861.409;1.900.518;1.885.203;1.886.255;1.885.053;1.851.098;1.851.098;1.880.723;1.861.186;1.902.022;1.908.096;1.863.182;1.852.856;1.882.837;1.903.436;1.914.296;1.945.979;1.943.315;1.934.018;1.934.018;1.974.424;1.989.935;1.999.653;2.000.765;2.025.573;2.033.594;2.060.703;2.076.101;2.079.271;2.105.645;2.097.650;2.054.926;2.054.926;2.107.707;2.132.934;2.134.241;2.130.726;2.168.245;2.165.169;2.234.476;2.266.934;2.261.740;2.302.350;2.296.189;2.272.158;2.272.158;2.276.879;2.300.041;2.275.144;2.294.102;2.304.195;2.316.265;2.332.059;2.340.075;2.343.748;2.363.843;2.380.286;2.386.827;2.386.827;2.383.053;2.373.819;2.357.163;2.349.136;2.336.962;2.309.104;2.320.210;2.327.394;2.331.184;;;Rupiah;7
8;;Valuta Asing;129.011;129.086;131.128;127.148;123.759;124.072;127.812;131.137;132.050;;134.868;134.282;130.133;130.133;124.129;124.121;128.639;121.945;120.104;117.576;124.321;126.436;130.714;129.685;135.589;140.518;140.518;141.171;145.623;148.649;148.486;159.186;164.762;170.722;171.517;180.380;187.859;190.178;177.508;177.508;173.616;169.755;182.383;178.375;195.905;198.689;210.355;221.193;232.808;219.037;208.427;236.925;236.925;222.396;213.893;213.875;213.269;229.073;238.735;233.105;232.564;247.800;236.188;238.034;254.478;254.478;264.828;276.638;277.120;273.215;280.020;270.345;259.944;264.484;270.403;256.193;251.997;257.745;257.745;256.081;242.092;236.613;227.926;221.668;216.207;219.857;228.021;223.908;228.948;243.755;260.393;260.393;253.066;267.720;266.558;267.593;273.942;266.414;257.867;265.160;274.497;267.595;262.085;273.191;273.191;266.246;266.711;268.854;266.574;261.360;273.257;278.714;293.555;289.419;291.572;278.000;299.763;299.763;292.064;312.302;336.181;326.195;303.881;292.576;296.704;308.041;311.174;318.938;301.431;298.465;298.465;289.713;315.350;331.826;291.711;295.856;295.855;324.433;327.517;321.114;330.165;293.404;283.241;283.241;280.864;277.326;284.988;277.488;287.266;286.564;279.492;279.462;294.007;288.844;280.440;288.947;288.947;278.731;268.855;265.209;262.002;252.646;269.333;266.357;284.058;305.830;;;Foreign Currency;8
9;;Tabungan;580.462;572.280;574.376;579.116;584.776;604.818;609.818;621.635;640.527;;645.793;658.200;714.487;714.487;698.044;695.168;696.987;705.880;711.416;730.893;737.725;759.260;769.690;772.836;796.643;864.557;864.557;850.050;850.388;854.144;867.274;874.615;900.494;909.966;931.031;938.223;950.476;965.140;1.027.226;1.027.226;1.017.242;1.008.885;1.001.530;1.013.533;1.018.746;1.023.014;1.051.632;1.053.226;1.069.407;1.069.539;1.082.743;1.152.952;1.152.952;1.119.130;1.111.408;1.097.064;1.105.515;1.095.806;1.106.140;1.144.093;1.132.274;1.143.054;1.138.907;1.158.896;1.234.588;1.234.588;1.184.829;1.181.971;1.170.999;1.176.802;1.169.045;1.190.429;1.219.508;1.222.098;1.259.087;1.251.686;1.276.097;1.361.667;1.361.667;1.308.947;1.302.979;1.302.625;1.309.960;1.318.429;1.386.212;1.377.989;1.393.995;1.396.442;1.395.306;1.424.698;1.507.557;1.507.557;1.457.101;1.450.571;1.452.090;1.442.669;1.454.867;1.505.564;1.504.970;1.506.026;1.525.764;1.531.720;1.569.759;1.638.333;1.638.333;1.605.493;1.605.476;1.601.125;1.596.504;1.629.954;1.667.029;1.670.640;1.665.824;1.673.721;1.684.284;1.686.549;1.769.299;1.769.299;1.709.021;1.697.177;1.701.292;1.699.025;1.762.590;1.771.154;1.773.077;1.762.960;1.773.831;1.779.610;1.804.225;1.877.909;1.877.909;1.830.968;1.829.464;1.899.574;1.869.130;1.942.896;1.926.101;1.946.205;1.979.576;1.986.623;1.990.030;2.035.483;2.108.160;2.108.160;2.056.612;2.042.638;2.059.616;2.102.471;2.132.363;2.169.357;2.177.189;2.191.849;2.220.623;2.244.113;2.274.532;2.376.835;2.376.835;2.325.280;2.332.790;2.361.941;2.450.599;2.425.138;2.431.989;2.432.971;2.427.379;2.437.327;;;Savings Deposits;9
10;;Rupiah;540.445;532.527;533.180;534.979;544.440;562.108;562.678;571.248;588.884;;593.731;605.637;661.882;661.882;646.293;641.688;642.671;650.009;657.450;675.739;681.992;704.608;714.362;716.822;740.613;808.642;808.642;791.737;793.181;795.268;808.319;816.477;838.993;845.545;868.689;877.197;887.696;903.317;963.799;963.799;949.035;939.958;931.522;943.164;947.661;951.112;978.912;978.509;988.932;988.402;999.948;1.068.622;1.068.622;1.034.828;1.027.712;1.012.934;1.020.844;1.009.658;1.021.765;1.056.188;1.044.437;1.055.488;1.053.944;1.070.258;1.144.254;1.144.254;1.093.281;1.090.330;1.077.671;1.082.143;1.077.048;1.094.224;1.123.052;1.116.885;1.137.733;1.136.577;1.159.100;1.245.879;1.245.879;1.195.407;1.189.790;1.189.556;1.198.850;1.206.068;1.273.836;1.261.403;1.276.111;1.274.415;1.272.293;1.301.888;1.380.679;1.380.679;1.331.235;1.326.659;1.326.719;1.319.937;1.331.655;1.381.189;1.387.563;1.391.362;1.402.545;1.410.858;1.447.763;1.520.007;1.520.007;1.487.695;1.490.244;1.484.420;1.479.424;1.512.927;1.545.263;1.551.634;1.549.315;1.549.812;1.558.084;1.566.067;1.644.863;1.644.863;1.590.237;1.579.941;1.581.380;1.578.804;1.647.343;1.646.751;1.653.281;1.640.199;1.647.840;1.657.339;1.682.862;1.757.687;1.757.687;1.706.594;1.697.984;1.754.029;1.734.576;1.804.816;1.791.165;1.807.122;1.833.004;1.841.783;1.843.549;1.886.168;1.959.945;1.959.945;1.914.313;1.898.808;1.910.671;1.961.932;1.989.504;2.025.062;2.029.646;2.043.890;2.064.742;2.087.912;2.115.403;2.218.073;2.218.073;2.159.120;2.163.685;2.182.755;2.276.733;2.254.572;2.252.234;2.256.101;2.248.338;2.254.164;;;Rupiah;10
11;;Valuta Asing;40.017;39.752;41.196;44.137;40.336;42.710;47.140;50.387;51.643;;52.063;52.564;52.605;52.605;51.750;53.480;54.315;55.871;53.966;55.155;55.734;54.651;55.329;56.014;56.030;55.915;55.915;58.314;57.207;58.876;58.955;58.138;61.501;64.421;62.342;61.026;62.779;61.823;63.426;63.426;68.207;68.926;70.008;70.369;71.085;71.902;72.720;74.717;80.475;81.137;82.795;84.330;84.330;84.302;83.697;84.130;84.671;86.148;84.375;87.904;87.838;87.566;84.963;88.639;90.334;90.334;91.548;91.641;93.328;94.659;91.997;96.205;96.456;105.213;121.354;115.109;116.996;115.787;115.787;113.540;113.188;113.069;111.110;112.362;112.376;116.586;117.885;122.027;123.013;122.811;126.879;126.879;125.866;123.912;125.371;122.732;123.212;124.375;117.407;114.664;123.218;120.862;121.996;118.326;118.326;117.798;115.232;116.704;117.080;117.027;121.766;119.006;116.509;123.909;126.200;120.482;124.436;124.436;118.784;117.236;119.912;120.220;115.246;124.402;119.796;122.762;125.990;122.271;121.362;120.222;120.222;124.374;131.480;145.545;134.554;138.080;134.936;139.083;146.572;144.840;146.481;149.315;148.215;148.215;142.299;143.831;148.946;140.539;142.859;144.295;147.543;147.959;155.881;156.201;159.128;158.762;158.762;166.160;169.104;179.186;173.866;170.566;179.755;176.870;179.042;183.163;;;Foreign Currency;11
12;;Simpanan Giro Valuta asing;123.587;122.443;133.151;128.464;125.304;143.386;141.932;134.627;137.504;;133.041;134.482;139.180;139.180;136.056;149.630;151.966;144.107;143.625;140.584;143.163;134.088;139.238;144.749;158.494;153.320;153.320;161.260;157.061;158.984;155.275;167.516;173.942;173.041;172.617;170.117;178.430;180.166;182.341;182.341;198.081;204.343;190.841;190.669;216.699;205.484;211.049;219.578;240.772;240.872;258.298;242.416;242.416;236.344;236.807;219.639;223.343;241.505;227.451;217.648;221.020;235.945;246.873;245.889;245.005;245.005;260.445;250.165;255.221;262.998;265.931;285.986;278.583;292.128;302.999;283.065;274.697;272.678;272.678;264.086;270.979;261.192;254.028;244.366;255.328;248.766;247.702;263.323;256.007;262.762;259.420;259.420;266.864;250.275;252.435;244.316;267.298;263.105;242.484;253.973;245.195;253.643;247.610;247.374;247.374;254.103;250.090;246.929;249.809;261.299;273.445;275.016;265.893;299.840;315.847;338.445;279.284;279.284;273.067;265.258;262.022;246.107;242.667;281.713;304.950;287.962;306.386;292.878;292.455;314.056;314.056;308.392;308.628;398.949;344.075;380.414;345.798;359.519;372.277;377.300;354.805;373.098;363.468;363.468;369.483;392.974;430.224;421.741;400.338;425.988;421.469;441.122;453.019;503.294;503.266;512.969;512.969;487.106;495.497;545.437;494.452;510.103;516.076;510.804;560.009;546.408;;;Foreign Currency Demand Deposits;12
