I.1. UANG BEREDAR DAN FAKTOR-FAKTOR YANG MEMPENGARUHINYA ¹;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;I.1.  BROAD MONEY AND ITS AFFECTING FACTORS ¹;;;;;;;;;;;;
13;;Surat Berharga Selain Saham;7.274;7.765;6.249;6.103;6.248;5.365;5.400;4.448;4.975;;5.321;6.816;9.075;9.075;10.242;10.530;7.968;8.468;9.580;10.131;10.424;14.770;13.663;12.472;14.746;14.388;14.388;13.409;15.735;14.771;15.450;15.081;16.610;12.932;12.108;11.457;10.640;10.406;10.420;10.420;10.829;10.861;12.132;12.902;15.335;11.594;18.413;20.691;24.394;22.965;24.692;22.805;22.805;22.223;13.493;13.852;12.726;14.094;8.829;9.110;8.019;16.136;17.719;21.785;21.630;21.630;22.866;11.331;13.282;14.131;14.307;13.643;15.394;15.615;19.221;15.508;14.925;13.399;13.399;15.613;13.368;13.441;12.952;11.852;13.796;11.882;14.070;12.336;13.014;14.494;13.525;13.525;14.289;14.184;17.894;16.729;16.971;17.289;18.113;19.167;19.106;19.345;18.782;18.362;18.362;18.378;16.929;15.761;15.530;14.661;15.209;17.082;16.479;17.831;19.251;19.401;20.533;20.533;20.273;19.776;19.492;20.362;17.758;15.953;17.898;23.953;24.797;25.681;25.482;25.981;25.981;26.719;26.646;28.178;24.564;24.422;20.965;18.767;19.479;21.345;22.576;24.016;23.220;23.220;21.274;20.045;18.201;17.634;18.165;16.457;17.059;20.603;21.089;20.192;20.094;22.675;22.675;23.068;23.556;26.608;28.087;26.427;24.795;19.164;19.624;21.062;;;Securities Other Than Shares;13
14;;Faktor-faktor Yang Mempengaruhi Uang beredar;2.073.860;2.066.481;2.112.083;2.116.024;2.143.234;2.231.144;2.217.589;2.236.459;2.274.955;;2.308.846;2.347.807;2.471.206;2.471.206;2.436.679;2.420.191;2.451.357;2.434.478;2.475.286;2.522.784;2.564.556;2.621.346;2.643.331;2.677.787;2.729.538;2.877.220;2.877.220;2.857.127;2.852.005;2.914.194;2.929.610;2.994.474;3.052.786;3.057.336;3.091.568;3.128.179;3.164.443;3.207.908;3.307.508;3.307.508;3.268.789;3.280.420;3.322.529;3.360.928;3.426.305;3.413.379;3.506.574;3.502.420;3.584.081;3.576.869;3.616.049;3.730.409;3.730.409;3.652.349;3.635.060;3.652.531;3.721.882;3.780.955;3.857.962;3.887.407;3.886.520;4.010.147;4.024.489;4.076.670;4.173.327;4.173.327;4.174.826;4.218.123;4.246.361;4.275.711;4.288.369;4.358.802;4.373.208;4.404.085;4.508.603;4.443.078;4.452.325;4.548.800;4.548.800;4.498.361;4.521.951;4.561.873;4.581.878;4.614.062;4.737.451;4.730.380;4.746.027;4.737.631;4.778.479;4.868.651;5.004.977;5.004.977;4.936.882;4.942.920;5.017.644;5.033.780;5.126.370;5.225.166;5.178.079;5.219.648;5.254.139;5.284.320;5.321.432;5.419.165;5.419.165;5.351.685;5.351.650;5.395.826;5.409.089;5.435.083;5.534.150;5.507.792;5.529.452;5.606.780;5.667.512;5.670.975;5.760.046;5.760.046;5.644.985;5.670.778;5.747.247;5.746.732;5.860.509;5.908.509;5.941.133;5.934.562;6.004.277;6.026.909;6.074.377;6.136.777;6.136.777;6.047.999;6.118.514;6.441.495;6.236.651;6.465.362;6.391.612;6.566.671;6.730.994;6.748.814;6.782.147;6.821.198;6.905.939;6.905.939;6.767.408;6.817.788;6.895.564;6.964.386;7.004.093;7.130.061;7.160.560;7.211.501;7.300.921;7.491.704;7.573.320;7.870.453;7.870.453;7.646.789;7.690.135;7.810.949;7.911.484;7.854.187;7.890.747;7.845.552;7.897.628;7.962.693;;;Factors Affecting Broad Money;14
15;;Aktiva Luar negeri Bersih;714.944;716.296;726.192;774.153;734.043;756.588;761.898;797.383;824.481;;855.406;847.094;865.121;865.121;856.854;885.005;911.389;957.262;971.294;970.573;972.976;977.556;918.902;913.004;939.668;912.174;912.174;934.112;942.113;926.120;963.364;971.114;925.568;936.305;955.709;975.633;990.455;989.138;965.442;965.442;960.233;937.714;947.362;940.165;935.590;833.821;849.697;879.470;972.111;955.881;987.759;1.011.361;1.011.361;1.035.757;1.009.224;983.372;1.010.167;1.056.871;1.072.451;1.051.085;1.063.301;1.114.215;1.096.264;1.102.325;1.105.783;1.105.783;1.194.242;1.207.650;1.189.181;1.160.777;1.189.000;1.190.279;1.177.586;1.178.638;1.232.071;1.124.765;1.128.848;1.176.638;1.176.638;1.143.188;1.146.190;1.186.803;1.180.527;1.163.191;1.221.949;1.216.908;1.269.008;1.270.287;1.274.844;1.262.883;1.298.938;1.298.938;1.305.452;1.345.426;1.395.154;1.423.142;1.446.967;1.434.033;1.484.065;1.508.682;1.530.100;1.505.181;1.480.272;1.541.838;1.541.838;1.533.280;1.528.814;1.524.593;1.514.085;1.452.086;1.482.401;1.447.313;1.483.559;1.470.815;1.494.443;1.444.270;1.442.602;1.442.602;1.387.582;1.451.137;1.467.485;1.421.737;1.403.335;1.447.420;1.467.212;1.526.015;1.510.496;1.523.637;1.510.855;1.506.614;1.506.614;1.524.650;1.593.389;1.670.976;1.646.197;1.659.391;1.622.241;1.724.739;1.737.306;1.762.518;1.735.682;1.665.859;1.711.187;1.711.187;1.751.525;1.776.325;1.803.431;1.821.783;1.765.827;1.809.372;1.799.134;1.841.761;1.851.331;1.834.568;1.842.188;1.809.680;1.809.680;1.782.609;1.801.305;1.776.927;1.742.462;1.714.258;1.779.197;1.715.686;1.767.398;1.753.349;;;Net Foreign Assets;15
16;;Tagihan Kepada Bukan Penduduk;861.742;863.557;874.135;916.371;881.927;901.564;910.669;946.869;977.152;;1.010.228;1.008.612;1.033.086;1.033.086;1.002.551;1.024.022;1.056.773;1.100.625;1.120.911;1.128.510;1.158.726;1.178.255;1.129.764;1.122.662;1.155.179;1.134.951;1.134.951;1.156.298;1.166.546;1.151.445;1.188.695;1.202.588;1.155.730;1.171.991;1.193.230;1.215.800;1.269.262;1.274.245;1.270.701;1.270.701;1.264.490;1.244.468;1.262.012;1.268.623;1.260.176;1.163.052;1.203.064;1.250.549;1.362.325;1.331.948;1.396.959;1.442.896;1.442.896;1.465.394;1.398.855;1.391.071;1.422.580;1.492.260;1.525.892;1.505.340;1.524.608;1.586.508;1.566.366;1.567.934;1.596.103;1.596.103;1.684.168;1.702.996;1.698.786;1.670.947;1.711.727;1.705.774;1.705.046;1.722.938;1.769.827;1.626.771;1.634.057;1.741.211;1.741.211;1.688.392;1.698.065;1.726.447;1.721.749;1.710.827;1.766.654;1.753.097;1.789.955;1.786.536;1.790.859;1.798.470;1.838.278;1.838.278;1.841.030;1.879.059;1.908.093;1.927.733;1.952.640;1.982.921;1.991.694;2.021.575;2.045.635;2.017.210;1.994.742;2.073.389;2.073.389;2.072.481;2.076.885;2.064.294;2.052.124;2.012.355;2.057.858;2.039.888;2.078.088;2.070.639;2.091.265;2.018.394;2.051.432;2.051.432;1.995.468;2.036.358;2.111.629;2.096.500;2.031.444;2.065.231;2.072.174;2.116.546;2.092.600;2.100.317;2.100.401;2.103.385;2.103.385;2.110.290;2.196.230;2.348.854;2.275.616;2.260.010;2.211.083;2.320.754;2.333.780;2.356.098;2.332.092;2.244.259;2.277.584;2.277.584;2.311.121;2.352.099;2.374.126;2.381.090;2.333.250;2.366.823;2.358.076;2.484.706;2.493.032;2.466.332;2.478.172;2.446.266;2.446.266;2.409.522;2.446.419;2.419.860;2.403.375;2.398.034;2.469.447;2.401.514;2.431.075;2.443.445;;;Claims on Non_Residents;16
17;;Kewajiban Kepada Bukan Penduduk;146.798;147.262;147.942;142.218;147.884;144.977;148.771;149.487;152.671;;154.823;161.518;167.964;167.964;145.698;139.018;145.384;143.363;149.617;157.937;185.751;200.699;210.862;209.658;215.511;222.777;222.777;222.186;224.433;225.325;225.331;231.473;230.162;235.685;237.521;240.167;278.807;285.107;305.259;305.259;304.257;306.754;314.650;328.458;324.586;329.231;353.366;371.079;390.214;376.067;409.200;431.536;431.536;429.637;389.631;407.698;412.413;435.390;453.441;454.256;461.307;472.293;470.102;465.609;490.321;490.321;489.926;495.347;509.605;510.170;522.728;515.494;527.460;544.300;537.756;502.006;505.208;564.572;564.572;545.204;551.875;539.643;541.222;547.636;544.704;536.188;520.947;516.249;516.015;535.586;539.340;539.340;535.578;533.632;512.939;504.591;505.672;548.888;507.628;512.893;515.535;512.029;514.471;531.551;531.551;539.201;548.071;539.701;538.039;560.269;575.457;592.575;594.528;599.824;596.821;574.124;608.830;608.830;607.886;585.220;644.144;674.763;628.109;617.811;604.961;590.531;582.104;576.679;589.547;596.771;596.771;585.640;602.841;677.877;629.419;600.619;588.842;596.015;596.474;593.580;596.411;578.400;566.397;566.397;559.596;575.774;570.695;559.307;567.422;557.451;558.942;642.944;641.701;631.763;635.984;636.586;636.586;626.913;645.113;642.932;660.913;683.775;690.250;685.828;663.676;690.095;;;Liabilities to Non_Residents;17
18;;Aktiva Dalam Negeri Bersih;1.358.916;1.350.185;1.385.890;1.341.870;1.409.191;1.474.556;1.455.691;1.439.077;1.450.474;;1.453.440;1.500.713;1.606.084;1.606.084;1.579.825;1.535.186;1.539.968;1.477.216;1.503.992;1.552.211;1.591.581;1.643.789;1.724.430;1.764.783;1.789.870;1.965.045;1.965.045;1.923.015;1.909.892;1.988.074;1.966.246;2.023.360;2.127.218;2.121.031;2.135.860;2.152.546;2.173.988;2.218.770;2.342.066;2.342.066;2.308.556;2.342.707;2.375.167;2.420.763;2.490.715;2.579.558;2.656.876;2.622.950;2.611.969;2.620.988;2.628.290;2.719.049;2.719.049;2.616.592;2.625.837;2.669.158;2.711.716;2.724.084;2.785.511;2.836.323;2.823.219;2.895.931;2.928.225;2.974.345;3.067.544;3.067.544;2.980.584;3.010.473;3.057.180;3.114.934;3.099.370;3.168.522;3.195.623;3.225.447;3.276.533;3.318.314;3.323.476;3.372.162;3.372.162;3.355.173;3.375.761;3.375.069;3.401.351;3.450.871;3.515.502;3.513.471;3.477.019;3.467.344;3.503.635;3.605.768;3.706.039;3.706.039;3.631.430;3.597.494;3.622.489;3.610.638;3.679.403;3.791.133;3.694.013;3.710.966;3.724.039;3.779.139;3.841.160;3.877.327;3.877.327;3.818.404;3.822.837;3.871.233;3.895.003;3.982.997;4.051.749;4.060.479;4.045.892;4.135.965;4.173.069;4.226.705;4.317.444;4.317.444;4.257.403;4.219.640;4.279.762;4.324.995;4.457.174;4.461.089;4.473.921;4.408.546;4.493.781;4.503.271;4.563.522;4.630.162;4.630.162;4.523.349;4.525.124;4.770.519;4.590.454;4.805.971;4.769.371;4.841.932;4.993.688;4.986.296;5.046.465;5.155.339;5.194.752;5.194.752;5.015.882;5.041.463;5.092.133;5.142.604;5.238.266;5.320.690;5.361.426;5.369.739;5.449.589;5.657.136;5.731.132;6.060.772;6.060.772;5.864.180;5.888.829;6.034.022;6.169.023;6.139.928;6.111.550;6.129.866;6.130.230;6.209.344;;;Net Domestic Assets;18
19;;Tagihan Bersih kepada Pemerintah Pusat;393.847;370.724;370.121;314.885;294.292;304.728;290.089;264.299;283.694;;293.481;299.613;368.717;368.717;355.797;310.741;318.001;252.127;223.667;216.791;216.081;214.449;237.643;257.584;244.644;351.177;351.177;322.216;296.137;297.108;243.123;240.053;284.331;279.040;271.398;298.897;285.784;313.325;389.827;389.827;378.366;361.337;366.902;341.302;322.822;330.871;377.080;340.332;342.433;337.225;353.755;406.611;406.611;345.702;318.677;308.623;314.114;290.773;325.312;293.691;306.328;345.765;380.011;394.515;416.608;416.608;363.458;382.650;426.449;417.441;365.074;408.232;407.278;420.750;482.396;495.480;520.858;491.127;491.127;532.951;563.544;517.322;513.239;542.179;511.217;502.255;486.277;410.538;442.064;508.968;519.065;519.065;507.172;485.638;445.404;393.805;442.961;464.804;448.191;458.275;463.550;503.524;518.698;488.862;488.862;528.312;530.355;471.641;427.324;421.367;462.120;471.915;445.236;484.358;486.943;500.608;472.729;472.729;438.308;386.108;425.782;450.741;441.423;403.059;428.034;429.160;447.472;438.261;512.830;489.173;489.173;433.341;431.084;486.688;457.426;489.130;575.286;601.872;707.777;789.836;795.004;853.966;818.392;818.392;672.416;651.402;692.118;664.444;764.942;797.333;835.833;858.308;917.981;1.037.347;1.113.439;1.127.267;1.127.267;996.318;929.878;885.833;813.009;794.737;685.883;743.483;666.037;619.769;;;Net Claims on Central Goverment;19
20;;Tagihan Kepada Pemerintah Pusat;547.457;540.740;540.697;525.924;531.309;522.552;515.995;521.235;523.138;;518.009;525.104;514.143;514.143;512.544;510.331;514.240;506.205;509.284;507.854;499.221;499.815;513.885;515.065;525.534;515.795;515.795;510.617;524.611;521.840;532.103;534.394;541.389;541.185;542.430;541.455;543.060;537.380;530.898;530.898;531.819;534.141;538.981;539.986;542.660;543.838;560.029;564.043;570.754;572.707;581.698;577.373;577.373;588.357;586.335;592.264;597.310;585.779;601.524;594.724;595.991;619.313;606.097;609.096;615.763;615.763;620.220;646.659;664.938;672.755;668.612;677.558;689.438;715.337;715.889;720.545;729.042;755.753;755.753;751.386;766.685;764.855;768.047;785.761;773.634;751.504;779.458;773.735;768.880;780.903;782.450;782.450;797.192;803.763;789.400;781.660;773.112;782.023;791.351;820.150;825.505;862.232;860.194;858.988;858.988;821.344;857.933;855.850;879.622;840.286;846.660;854.513;878.427;887.942;893.436;885.964;893.041;893.041;929.366;942.678;926.293;897.212;855.962;825.030;851.587;898.855;891.757;912.244;943.030;930.775;930.775;938.336;961.653;979.975;1.085.581;1.128.714;1.167.814;1.207.891;1.278.930;1.307.190;1.351.237;1.381.212;1.417.262;1.417.262;1.447.511;1.513.397;1.516.735;1.553.984;1.495.493;1.548.166;1.539.245;1.611.120;1.669.939;1.679.200;1.695.211;1.709.679;1.709.679;1.639.751;1.652.927;1.628.608;1.643.126;1.597.393;1.619.829;1.646.910;1.658.218;1.678.122;;;Claims on Central Goverment;20
21;;Kewajiban Kepada Pemerintah Pusat;153.611;170.016;170.576;211.039;237.018;217.824;225.907;256.935;239.444;;224.528;225.492;145.426;145.426;156.746;199.589;196.239;254.079;285.616;291.063;283.140;285.367;276.242;257.480;280.890;164.618;164.618;188.401;228.474;224.732;288.980;294.340;257.058;262.145;271.031;242.558;257.276;224.056;141.072;141.072;153.453;172.804;172.079;198.684;219.837;212.967;182.949;223.711;228.321;235.482;227.943;170.762;170.762;242.655;267.658;283.641;283.197;295.006;276.213;301.032;289.663;273.548;226.085;214.580;199.155;199.155;256.762;264.009;238.489;255.314;303.539;269.326;282.161;294.586;233.492;225.066;208.184;264.626;264.626;218.435;203.140;247.533;254.808;243.582;262.417;249.249;293.182;363.198;326.816;271.936;263.385;263.385;290.020;318.125;343.995;387.856;330.152;317.218;343.160;361.876;361.955;358.708;341.496;370.125;370.125;293.032;327.578;384.208;452.299;418.919;384.540;382.598;433.190;403.583;406.493;385.356;420.312;420.312;491.058;556.570;500.511;446.471;414.539;421.971;423.552;469.695;444.285;473.983;430.200;441.602;441.602;504.995;530.569;493.287;628.155;639.583;592.528;606.019;571.152;517.354;556.233;527.246;598.869;598.869;775.095;861.995;824.617;889.540;730.551;750.833;703.412;752.812;751.958;641.852;581.772;582.412;582.412;643.434;723.049;742.775;830.117;802.656;933.946;903.427;992.182;1.058.353;;;Liabilities to Central Goverment;21
22;;Tagihan Kepada sektor lainnya;1.530.628;1.562.076;1.591.139;1.617.236;1.660.942;1.721.286;1.731.218;1.774.363;1.795.954;;1.808.229;1.842.798;1.910.022;1.910.022;1.881.004;1.917.047;1.964.490;1.993.307;2.045.007;2.109.138;2.140.515;2.205.555;2.249.588;2.283.424;2.337.812;2.383.823;2.383.823;2.375.914;2.404.608;2.465.721;2.521.274;2.588.242;2.650.053;2.664.719;2.693.174;2.754.538;2.787.802;2.830.066;2.917.452;2.917.452;2.894.235;2.924.875;2.973.874;3.028.028;3.109.337;3.180.790;3.235.593;3.285.901;3.382.500;3.387.423;3.454.934;3.526.612;3.526.612;3.492.007;3.506.161;3.549.149;3.610.329;3.651.257;3.717.744;3.747.911;3.757.074;3.823.505;3.844.952;3.913.512;3.961.583;3.961.583;3.936.152;3.958.638;3.981.351;4.026.379;4.079.709;4.157.396;4.155.066;4.213.016;4.270.057;4.239.637;4.244.290;4.318.126;4.318.126;4.276.987;4.271.323;4.309.736;4.310.149;4.365.857;4.451.853;4.483.642;4.473.940;4.535.305;4.543.160;4.622.284;4.711.239;4.711.239;4.672.523;4.668.423;4.715.602;4.700.406;4.785.691;4.839.861;4.832.752;4.841.596;4.893.184;4.906.515;4.969.291;5.087.392;5.087.392;5.005.614;5.043.608;5.116.091;5.162.090;5.259.282;5.344.340;5.372.791;5.424.360;5.531.834;5.597.568;5.585.994;5.725.267;5.725.267;5.626.623;5.666.882;5.726.662;5.736.126;5.838.723;5.891.598;5.889.907;5.881.171;5.938.477;5.944.639;5.969.617;6.039.881;6.039.881;5.942.432;5.979.059;6.116.236;6.013.148;5.970.289;5.937.341;5.923.986;5.919.068;5.959.415;5.950.029;5.896.502;5.940.141;5.940.141;5.862.876;5.870.594;5.900.531;5.917.561;5.961.035;6.006.521;6.008.316;6.023.004;6.147.503;6.152.951;6.222.102;6.259.531;6.259.531;6.222.739;6.298.283;6.423.251;6.515.883;6.553.245;6.690.292;6.688.004;6.726.775;6.805.970;;;Claims on Other Sector;22
23;;Tagihan Kepada Lembaga keuangan Lainnya;102.561;105.124;112.432;120.870;110.428;111.523;111.499;114.470;113.467;;114.149;118.079;124.852;124.852;121.824;127.578;143.475;140.418;145.722;147.298;151.724;153.061;153.928;155.813;160.481;161.444;161.444;167.930;173.804;170.728;174.827;177.733;173.718;170.630;168.210;168.697;170.279;168.895;174.952;174.952;171.978;183.450;184.127;185.849;194.762;197.895;200.918;203.690;207.982;208.980;213.253;217.469;217.469;214.351;213.743;218.040;225.089;232.042;236.409;240.712;238.566;239.971;240.961;249.966;252.742;252.742;248.260;257.484;256.754;260.610;259.101;261.003;263.067;263.172;267.916;256.707;246.372;271.704;271.704;274.397;280.018;255.203;252.381;259.447;266.860;267.037;270.490;274.395;275.388;277.006;290.028;290.028;289.465;293.536;296.981;297.471;300.624;311.836;308.752;309.527;314.032;313.942;318.677;324.909;324.909;313.719;323.989;331.290;338.838;342.632;350.546;350.113;352.030;360.057;358.502;361.249;371.297;371.297;364.374;360.098;355.676;358.349;369.352;372.785;368.994;366.054;365.748;371.952;374.526;377.277;377.277;366.888;366.692;372.412;366.534;359.604;349.810;349.405;349.319;335.049;341.653;342.686;344.148;344.148;338.820;332.716;327.012;326.446;332.240;338.973;335.441;339.721;391.008;394.061;410.989;406.112;406.112;383.341;399.618;405.325;408.159;421.123;428.415;436.057;433.924;455.189;;;Claims on Other Financial;23
24;;Pinjaman yang Diberikan 2);73.213;73.590;79.909;86.786;79.588;80.058;79.257;81.459;81.002;;80.312;82.856;88.483;88.483;85.355;89.397;104.301;101.140;105.309;107.095;110.691;112.522;115.497;115.782;119.745;123.488;123.488;128.927;135.255;131.954;135.112;136.289;131.523;124.884;127.577;128.124;130.021;128.297;132.531;132.531;131.470;139.971;141.864;143.814;151.536;155.649;158.608;161.112;162.846;162.631;167.118;171.245;171.245;166.798;164.645;166.261;172.171;178.770;181.672;182.755;180.633;183.323;181.443;185.194;189.010;189.010;183.757;187.889;183.010;183.299;183.335;186.696;189.689;188.478;191.436;180.003;176.388;201.493;201.493;200.612;203.289;177.902;173.649;182.965;191.528;188.692;189.074;193.207;191.277;193.133;202.648;202.648;197.932;198.597;198.457;197.424;202.514;213.336;207.854;207.952;210.070;209.005;208.997;221.986;221.986;206.727;214.501;219.468;221.910;230.566;242.106;238.320;237.508;240.452;242.371;241.937;257.599;257.599;242.353;239.340;241.320;243.406;255.877;256.219;243.685;245.242;246.990;247.593;250.339;259.283;259.283;246.210;249.621;269.480;265.738;259.043;247.454;243.666;240.616;228.613;228.009;228.697;231.263;231.263;223.415;222.456;222.996;218.068;222.048;226.977;224.431;229.593;224.554;224.220;225.118;240.716;240.716;254.370;258.819;244.700;252.482;255.322;267.443;270.067;264.793;277.768;;;Loans 2);24
25;;Tagihan Lainnya;29.348;31.533;32.523;34.084;30.840;31.465;32.242;33.010;32.465;;33.837;35.223;36.369;36.369;36.469;38.181;39.173;39.277;40.414;40.204;41.033;40.539;38.430;40.031;40.736;37.956;37.956;39.003;38.549;38.774;39.715;41.444;42.196;45.746;40.633;40.573;40.258;40.598;42.422;42.422;40.508;43.479;42.263;42.034;43.226;42.246;42.310;42.577;45.136;46.349;46.135;46.225;46.225;47.553;49.098;51.779;52.918;53.272;54.737;57.957;57.934;56.648;59.518;64.773;63.732;63.732;64.504;69.594;73.744;77.311;75.767;74.307;73.378;74.694;76.479;76.704;69.984;70.210;70.210;73.785;76.730;77.301;78.731;76.482;75.332;78.345;81.416;81.188;84.111;83.873;87.380;87.380;91.532;94.938;98.524;100.047;98.109;98.500;100.898;101.574;103.961;104.937;109.679;102.923;102.923;106.992;109.489;111.822;116.928;112.066;108.440;111.793;114.522;119.606;116.131;119.311;113.698;113.698;122.021;120.759;114.356;114.943;113.475;116.566;125.309;120.811;118.759;124.360;124.187;117.994;117.994;120.677;117.070;102.932;100.795;100.562;102.355;105.738;108.703;106.436;113.645;113.989;112.884;112.884;115.405;110.260;104.016;108.377;110.192;111.996;111.009;110.128;166.454;169.841;185.871;165.396;165.396;128.971;140.798;160.625;155.677;165.801;160.971;165.990;169.131;177.421;;;Other Claims;25
