I.1. UANG BEREDAR DAN FAKTOR-FAKTOR YANG MEMPENGARUHINYA ¹;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;I.1.  BROAD MONEY AND ITS AFFECTING FACTORS ¹;;;;;;;;;;;;
26;;Tagihan Kepada Pemerintah Daerah;1.758;1.173;1.239;1.374;1.252;1.214;1.338;1.306;1.340;;1.305;1.342;1.594;1.594;1.519;1.514;1.498;5.019;1.009;953;952;963;917;935;997;1.410;1.410;979;1.440;1.439;1.403;1.367;1.419;1.604;1.805;1.980;2.185;2.367;2.790;2.790;2.360;2.781;2.931;3.162;3.321;3.543;3.711;3.856;4.075;4.271;4.428;4.727;4.727;4.841;5.055;5.235;5.390;5.553;5.730;5.849;5.838;6.042;6.212;6.369;6.635;6.635;6.623;6.456;6.271;5.742;5.837;5.889;5.884;5.882;5.999;6.071;6.197;6.516;6.516;6.701;6.781;6.779;6.823;6.927;6.969;6.966;4.763;1.245;578;616;589;589;976;936;709;827;721;893;1.013;888;932;940;3.726;4.476;4.476;4.600;4.004;3.944;3.840;3.818;4.089;4.084;4.077;4.282;4.351;4.397;5.242;5.242;5.077;4.880;4.815;4.669;5.333;5.151;5.417;5.459;5.529;1.741;1.991;2.400;2.400;2.409;2.239;1.650;1.961;1.980;1.741;1.738;1.710;1.653;1.734;1.755;2.656;2.656;2.569;2.163;2.216;2.087;2.138;2.006;1.941;1.862;1.651;2.049;2.006;2.792;2.792;2.709;2.496;2.243;2.067;1.817;1.794;1.793;1.765;1.770;;;Claims on State and Local Govermment;26
27;;Pinjaman yang Diberikan 2);1.758;1.173;1.239;1.374;1.252;1.214;1.338;1.304;1.338;;1.303;1.340;1.594;1.594;1.517;1.513;1.497;5.018;999;953;952;963;917;930;992;1.405;1.405;974;1.435;1.434;1.397;1.362;1.419;1.595;1.796;1.970;2.175;2.358;2.780;2.780;2.350;2.771;2.921;3.131;3.291;3.512;3.683;3.828;4.048;4.244;4.402;4.700;4.700;4.815;5.029;5.209;5.364;5.532;5.709;5.828;5.817;6.021;6.191;6.348;6.614;6.614;6.602;6.435;6.250;5.721;5.816;5.868;5.863;5.861;5.978;6.050;6.176;6.495;6.495;6.680;6.760;6.758;6.802;6.906;6.948;6.944;4.742;1.224;557;595;568;568;955;915;709;827;721;893;913;788;832;840;3.626;4.376;4.376;4.500;3.904;3.844;3.740;3.718;3.989;3.984;3.977;4.007;4.076;4.122;4.966;4.966;4.802;4.604;4.540;4.394;5.058;4.876;5.142;5.358;5.429;1.641;1.891;2.300;2.300;2.134;1.964;1.650;1.961;1.980;1.740;1.738;1.710;1.653;1.734;1.755;2.656;2.656;2.569;2.163;2.216;2.087;2.138;2.006;1.941;1.862;1.651;2.049;2.006;2.792;2.792;2.709;2.496;2.243;2.067;1.817;1.794;1.793;1.765;1.770;;;Loans 2);27
28;;Tagihan Lainnya;0;0;0;0;0;0;0;2;2;;2;2;0;0;2;1;1;1;10;1;0;0;0;5;5;5;5;5;5;5;5;5;0;10;10;10;10;10;10;10;10;10;10;31;31;31;28;28;27;27;27;27;27;27;27;27;27;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;0;0;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;275;275;275;275;275;275;275;275;275;275;275;275;100;100;100;100;100;100;275;275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;-;-;-;-;-;-;-;-;-;;;Other Claims;28
29;;Tagihan Kepada Perusahaan Bukan keuangan BUMN;74.014;75.271;79.813;82.424;87.734;97.067;95.914;97.361;97.679;;94.132;96.907;99.369;99.369;95.472;97.027;91.980;85.838;88.475;96.052;99.402;105.055;105.744;101.958;108.296;102.594;102.594;104.833;94.820;108.409;118.085;123.511;116.929;117.307;120.680;116.429;113.968;157.969;158.383;158.383;166.767;163.916;167.033;180.698;180.050;181.353;180.893;184.270;196.176;191.054;196.401;206.111;206.111;207.291;211.538;212.584;210.377;224.944;215.948;226.807;219.927;227.825;210.234;214.330;213.528;213.528;226.573;222.760;209.221;219.394;229.741;239.222;241.378;233.628;236.296;236.518;237.576;217.778;217.778;220.418;205.915;248.524;244.028;253.173;276.380;275.810;271.213;281.536;290.573;297.652;304.802;304.802;315.879;312.734;321.857;323.161;316.578;317.603;323.337;329.530;322.179;322.038;321.332;345.288;345.288;337.737;333.585;346.753;365.932;391.540;408.869;412.198;426.734;455.464;475.687;456.199;480.134;480.134;466.700;481.585;479.527;474.320;508.166;520.299;521.149;517.356;514.461;495.990;501.516;508.582;508.582;487.981;487.218;507.284;509.471;517.458;523.717;515.867;515.232;507.781;487.857;468.768;464.221;464.221;459.007;458.931;461.900;467.169;474.405;479.002;478.871;481.116;483.665;476.282;446.404;406.466;406.466;436.221;434.655;447.237;510.792;493.184;519.302;505.969;514.655;510.365;;;Claims on Public Non_Financial Corp.;29
30;;Pinjaman yang Diberikan 2);64.819;65.003;70.283;73.593;78.699;88.636;86.312;88.375;88.688;;86.126;88.909;91.064;91.064;87.171;88.737;83.681;77.742;79.561;85.722;88.347;92.051;93.572;91.068;96.524;89.997;89.997;92.944;82.445;93.547;102.457;108.184;101.552;101.368;106.099;101.727;100.130;143.308;143.506;143.506;151.264;148.192;151.807;168.083;164.915;166.016;165.465;168.264;180.003;175.432;180.475;187.069;187.069;188.311;195.767;196.443;193.520;207.201;196.715;208.146;201.622;206.055;189.986;194.531;194.380;194.380;205.738;196.956;181.023;190.607;201.745;210.765;213.993;206.298;214.353;208.470;208.340;187.495;187.495;187.928;176.754;217.917;214.086;221.544;245.232;247.150;243.188;254.681;264.758;270.192;275.356;275.356;284.763;281.037;291.850;293.650;285.915;285.928;292.278;296.949;286.337;287.700;282.216;301.101;301.101;297.817;292.157;304.668;324.924;348.540;366.685;365.509;380.859;407.862;420.390;407.249;419.011;419.011;413.087;426.683;424.163;421.826;454.855;469.228;469.616;465.943;459.190;439.995;440.143;444.310;444.310;424.968;429.439;446.526;451.739;463.885;471.859;463.525;463.656;455.753;434.726;417.403;411.548;411.548;408.262;407.319;410.687;414.307;424.592;429.427;423.004;425.560;425.600;418.196;386.469;349.837;349.837;387.141;389.164;408.541;450.973;454.523;482.723;469.467;477.901;474.503;;;Loans 2);30
31;;Tagihan Lainnya;9.194;10.268;9.530;8.831;9.035;8.431;9.602;8.986;8.991;;8.006;7.998;8.305;8.305;8.301;8.290;8.299;8.096;8.915;10.330;11.055;13.004;12.173;10.890;11.772;12.596;12.596;11.889;12.375;14.861;15.629;15.327;15.377;15.939;14.581;14.702;13.838;14.661;14.877;14.877;15.503;15.724;15.226;12.615;15.136;15.338;15.428;16.006;16.173;15.622;15.926;19.042;19.042;18.980;15.770;16.141;16.856;17.744;19.233;18.661;18.305;21.770;20.248;19.800;19.148;19.148;20.835;25.804;28.198;28.787;27.996;28.457;27.386;27.330;21.943;28.047;29.235;30.283;30.283;32.490;29.162;30.608;29.942;31.629;31.147;28.660;28.025;26.855;25.814;27.461;29.446;29.446;31.116;31.697;30.007;29.511;30.663;31.675;31.059;32.581;35.842;34.338;39.116;44.187;44.187;39.920;41.428;42.086;41.008;43.000;42.184;46.688;45.875;47.602;55.297;48.950;61.123;61.123;53.613;54.902;55.364;52.494;53.311;51.071;51.533;51.413;55.271;55.996;61.373;64.273;64.273;63.012;57.779;60.759;57.733;53.573;51.857;52.342;51.576;52.028;53.131;51.365;52.673;52.673;50.745;51.612;51.212;52.863;49.814;49.575;55.867;55.556;58.065;58.085;59.934;56.629;56.629;49.080;45.492;38.696;59.819;38.661;36.580;36.502;36.754;35.862;;;Other Claims;31
32;;Tagihan Kepada Sektor Swasta;1.352.295;1.380.507;1.397.656;1.412.568;1.461.528;1.511.482;1.522.466;1.561.226;1.583.468;;1.598.643;1.626.469;1.684.207;1.684.207;1.662.189;1.690.927;1.727.537;1.762.032;1.809.801;1.864.834;1.888.437;1.946.476;1.989.000;2.024.718;2.068.037;2.118.376;2.118.376;2.102.172;2.134.544;2.185.146;2.226.960;2.285.631;2.357.987;2.375.178;2.402.479;2.467.432;2.501.370;2.500.834;2.581.327;2.581.327;2.553.130;2.574.729;2.619.784;2.658.320;2.731.204;2.797.999;2.850.071;2.894.085;2.974.266;2.983.117;3.040.852;3.098.305;3.098.305;3.065.524;3.075.825;3.113.289;3.169.473;3.188.717;3.259.657;3.274.542;3.292.743;3.349.667;3.387.545;3.442.846;3.488.677;3.488.677;3.454.695;3.471.938;3.509.105;3.540.632;3.585.030;3.651.282;3.644.737;3.710.334;3.759.846;3.740.342;3.754.145;3.822.128;3.822.128;3.775.472;3.778.609;3.799.229;3.806.917;3.846.310;3.901.644;3.933.829;3.927.473;3.978.129;3.976.621;4.047.010;4.115.821;4.115.821;4.066.204;4.061.217;4.096.056;4.078.947;4.167.769;4.209.529;4.199.649;4.201.652;4.256.041;4.269.594;4.325.556;4.412.719;4.412.719;4.349.558;4.382.029;4.434.102;4.453.480;4.521.292;4.580.835;4.606.397;4.641.519;4.712.031;4.759.028;4.764.149;4.868.594;4.868.594;4.790.472;4.820.319;4.886.645;4.898.787;4.955.873;4.993.363;4.994.346;4.992.303;5.052.739;5.074.954;5.091.584;5.151.622;5.151.622;5.085.155;5.122.910;5.234.890;5.135.183;5.091.247;5.062.074;5.056.976;5.052.808;5.114.933;5.118.785;5.083.294;5.129.116;5.129.116;5.062.479;5.076.784;5.109.403;5.121.859;5.152.251;5.186.540;5.192.064;5.200.306;5.271.179;5.280.560;5.362.704;5.444.160;5.444.160;5.400.468;5.461.514;5.568.447;5.594.865;5.637.121;5.740.781;5.744.185;5.776.430;5.838.646;;;Claims on Private Sectors;32
33;;Pinjaman yang Diberikan 2);1.284.354;1.307.857;1.323.988;1.345.557;1.391.421;1.438.799;1.452.412;1.490.990;1.510.336;;1.529.522;1.555.599;1.606.809;1.606.809;1.589.282;1.614.345;1.645.330;1.681.874;1.726.418;1.779.484;1.796.702;1.849.392;1.891.664;1.921.442;1.956.778;2.009.216;2.009.216;1.993.074;2.017.158;2.073.198;2.113.133;2.174.662;2.249.044;2.274.492;2.307.419;2.356.137;2.386.476;2.390.820;2.462.988;2.462.988;2.436.729;2.461.785;2.508.299;2.545.486;2.605.301;2.673.817;2.734.273;2.773.514;2.845.893;2.854.927;2.898.110;2.965.607;2.965.607;2.933.734;2.938.375;2.976.010;3.025.371;3.048.131;3.122.039;3.133.368;3.144.572;3.200.665;3.215.930;3.246.041;3.318.866;3.318.866;3.272.602;3.309.119;3.345.375;3.368.584;3.404.079;3.462.993;3.460.651;3.514.952;3.576.727;3.560.426;3.587.618;3.681.301;3.681.301;3.615.019;3.611.720;3.626.635;3.640.057;3.690.061;3.758.150;3.721.790;3.743.138;3.796.198;3.791.349;3.852.095;3.925.076;3.925.076;3.855.796;3.854.761;3.907.024;3.919.734;3.966.667;4.020.055;3.993.725;4.010.472;4.073.861;4.092.433;4.134.269;4.237.368;4.237.368;4.153.964;4.182.273;4.242.947;4.259.614;4.328.941;4.388.849;4.391.869;4.431.504;4.486.735;4.523.542;4.534.556;4.641.544;4.641.544;4.557.955;4.586.518;4.652.218;4.672.630;4.739.282;4.766.613;4.765.759;4.775.245;4.838.557;4.844.218;4.859.133;4.927.983;4.927.983;4.842.157;4.865.692;4.989.585;4.895.640;4.863.154;4.834.340;4.830.446;4.817.487;4.846.298;4.823.252;4.809.436;4.840.470;4.840.470;4.768.377;4.789.716;4.842.334;4.849.687;4.869.906;4.921.503;4.912.246;4.925.518;4.995.991;5.008.455;5.080.901;5.163.419;5.163.419;5.057.021;5.099.962;5.195.271;5.266.184;5.285.103;5.408.061;5.400.740;5.415.749;5.503.708;;;Loans2);33
34;;Tagihan Lainnya;67.941;72.651;73.668;67.011;70.108;72.683;70.054;70.236;73.133;;69.121;70.871;77.398;77.398;72.907;76.582;82.207;80.158;83.383;85.350;91.735;97.083;97.335;103.276;111.260;109.160;109.160;109.098;117.387;111.948;113.826;110.969;108.943;100.687;95.060;111.295;114.894;110.014;118.339;118.339;116.401;112.945;111.485;112.834;125.903;124.182;115.798;120.571;128.374;128.191;142.742;132.698;132.698;131.789;137.449;137.279;144.102;140.586;137.618;141.174;148.171;149.002;171.616;196.805;169.811;169.811;182.093;162.819;163.730;172.048;180.951;188.289;184.086;195.382;183.119;179.917;166.528;140.827;140.827;160.453;166.889;172.594;166.860;156.249;143.494;212.039;184.334;181.931;185.272;194.915;190.744;190.744;210.408;206.456;189.032;159.214;201.102;189.474;205.925;191.179;182.180;177.161;191.286;175.351;175.351;195.595;199.756;191.156;193.867;192.351;191.986;214.527;210.015;225.295;235.486;229.593;227.051;227.051;232.517;233.801;234.427;226.157;216.591;226.751;228.587;217.058;214.183;230.736;232.451;223.639;223.639;242.998;257.218;245.305;239.543;228.093;227.734;226.530;235.321;268.635;295.533;273.857;288.646;288.646;294.102;287.068;267.069;272.173;282.346;265.037;279.818;274.788;275.187;272.104;281.804;280.742;280.742;343.447;361.552;373.176;328.681;352.018;332.720;343.444;360.681;334.938;;;Other Claims;34
35;;Simpanan dan Surat Berharga yang tidak termasuk Uang Beredar;-55.946;-53.635;-52.632;-51.650;-57.042;-59.136;-67.825;-72.194;-75.332;;-81.737;-92.317;-113.547;-113.547;-104.184;-103.664;-131.977;-145.711;-156.016;-158.245;-163.623;-162.071;-167.532;-172.521;-177.701;-186.990;-186.990;-184.261;-184.218;-186.299;-188.392;-192.876;-201.571;-206.443;-205.578;-227.964;-217.704;-227.331;-242.014;-242.014;-234.448;-228.686;-227.791;-226.503;-226.830;-237.858;-235.726;-234.315;-256.345;-247.739;-260.394;-279.580;-279.580;-271.522;-274.661;-273.264;-272.968;-271.995;-269.860;-252.412;-269.888;-279.269;-282.935;-284.491;-283.176;-283.176;-255.726;-249.739;-255.960;-260.319;-269.861;-287.795;-263.330;-252.817;-260.230;-249.744;-251.563;-263.687;-263.687;-245.610;-243.306;-229.204;-240.946;-239.472;-246.986;-236.922;-239.407;-244.790;-244.365;-256.120;-271.978;-271.978;-260.997;-257.693;-258.937;-250.916;-260.128;-270.951;-267.166;-261.613;-289.121;-283.427;-290.494;-333.276;-333.276;-313.324;-308.834;-309.581;-307.155;-311.973;-317.820;-313.808;-323.225;-333.134;-342.274;-354.594;-353.968;-353.968;-332.374;-331.971;-329.081;-327.113;-332.127;-338.633;-339.599;-342.781;-342.732;-328.627;-341.201;-361.971;-361.971;-331.459;-338.587;-207.078;-317.069;-190.181;-307.013;-197.935;-202.360;-337.792;-323.420;-329.328;-350.527;-350.527;-339.092;-320.562;-368.223;-355.823;-359.795;-362.165;-347.346;-363.825;-369.513;-285.252;-298.066;-247.456;-247.456;-271.502;-267.034;-261.277;-261.327;-264.092;-286.867;-286.017;-290.447;-292.288;;;Deposits and Securities Other Than Shares Excluded Broad Money;35
36;;Simpanan;-54.268;-52.035;-51.065;-50.302;-55.796;-57.862;-66.571;-70.789;-73.977;;-80.393;-89.761;-110.905;-110.905;-101.436;-101.471;-129.785;-142.226;-153.686;-155.585;-161.337;-160.401;-165.799;-170.842;-176.099;-183.950;-183.950;-181.332;-181.321;-183.231;-185.556;-190.189;-198.573;-203.482;-202.483;-225.167;-212.844;-221.822;-235.073;-235.073;-228.002;-222.184;-221.521;-221.182;-221.733;-227.293;-232.838;-231.601;-253.625;-245.703;-258.161;-277.264;-277.264;-269.249;-272.400;-271.011;-270.710;-269.780;-267.640;-250.190;-267.666;-277.050;-280.588;-282.179;-281.031;-281.031;-253.578;-247.563;-253.917;-258.229;-267.824;-286.012;-261.505;-251.018;-258.409;-247.949;-249.845;-261.934;-261.934;-244.058;-242.136;-228.029;-239.768;-238.271;-245.630;-234.879;-237.491;-242.756;-241.284;-252.639;-267.988;-267.988;-256.705;-254.160;-254.993;-246.682;-257.511;-268.135;-257.344;-258.235;-285.478;-278.672;-285.858;-329.108;-329.108;-309.003;-303.066;-303.994;-301.019;-305.427;-311.740;-305.974;-316.667;-326.773;-327.666;-347.533;-347.678;-347.678;-325.737;-325.338;-322.124;-320.245;-325.538;-331.966;-333.050;-336.389;-336.870;-322.530;-334.167;-354.918;-354.918;-324.533;-331.771;-200.256;-310.335;-183.887;-300.856;-191.906;-194.228;-331.769;-317.525;-324.152;-345.204;-345.204;-331.990;-315.103;-363.003;-350.247;-353.648;-356.589;-341.983;-358.185;-364.974;-280.882;-293.707;-243.490;-243.490;-264.160;-260.081;-255.976;-255.686;-258.689;-280.342;-279.854;-284.332;-286.155;;;Deposits;36
37;;Surat Berharga;-1.678;-1.600;-1.567;-1.348;-1.246;-1.273;-1.255;-1.405;-1.355;;-1.345;-2.557;-2.642;-2.642;-2.748;-2.194;-2.192;-3.485;-2.330;-2.660;-2.286;-1.670;-1.733;-1.680;-1.603;-3.040;-3.040;-2.929;-2.897;-3.068;-2.836;-2.687;-2.998;-2.960;-3.095;-2.797;-4.860;-5.509;-6.940;-6.940;-6.446;-6.502;-6.270;-5.321;-5.097;-10.565;-2.888;-2.714;-2.720;-2.036;-2.233;-2.316;-2.316;-2.273;-2.261;-2.253;-2.258;-2.216;-2.220;-2.222;-2.223;-2.219;-2.347;-2.312;-2.145;-2.145;-2.148;-2.177;-2.043;-2.089;-2.037;-1.784;-1.825;-1.799;-1.820;-1.795;-1.719;-1.753;-1.753;-1.553;-1.170;-1.175;-1.178;-1.201;-1.357;-2.043;-1.916;-2.035;-3.081;-3.481;-3.990;-3.990;-4.292;-3.533;-3.943;-4.235;-2.617;-2.816;-9.821;-3.378;-3.643;-4.754;-4.636;-4.168;-4.168;-4.321;-5.768;-5.587;-6.136;-6.546;-6.080;-7.834;-6.558;-6.362;-14.608;-7.062;-6.290;-6.290;-6.637;-6.633;-6.957;-6.868;-6.589;-6.666;-6.549;-6.393;-5.862;-6.098;-7.034;-7.052;-7.052;-6.927;-6.815;-6.822;-6.734;-6.293;-6.157;-6.029;-8.132;-6.023;-5.895;-5.176;-5.322;-5.322;-7.102;-5.459;-5.219;-5.575;-6.147;-5.576;-5.363;-5.640;-4.538;-4.370;-4.359;-3.966;-3.966;-7.342;-6.952;-5.301;-5.641;-5.403;-6.525;-6.163;-6.115;-6.133;;;Securities;37
38;;Kewajiban Lainnya kepada Lembaga Keuangan;-15.057;-11.575;-10.930;-14.035;-15.351;-17.036;-17.972;-17.787;-19.662;;-17.426;-17.272;-19.194;-19.194;-22.685;-22.686;-24.396;-23.347;-31.396;-35.513;-26.885;-24.484;-27.629;-29.398;-23.791;-27.221;-27.221;-26.058;-24.223;-26.017;-24.991;-27.061;-29.755;-31.676;-32.899;-32.739;-33.793;-33.776;-34.333;-34.333;-33.883;-34.762;-37.206;-37.354;-37.066;-37.580;-39.691;-41.402;-43.728;-42.630;-45.314;-47.947;-47.947;-48.301;-45.288;-44.585;-44.963;-46.532;-44.363;-54.191;-46.277;-48.161;-48.287;-52.815;-49.889;-49.889;-46.938;-50.512;-50.259;-50.084;-50.833;-52.199;-56.761;-57.760;-63.203;-52.094;-52.582;-57.716;-57.716;-55.104;-57.488;-49.896;-49.053;-54.488;-51.698;-47.148;-46.948;-50.999;-49.836;-52.955;-55.007;-55.007;-51.901;-55.194;-63.300;-58.764;-57.912;-49.094;-65.019;-68.140;-68.612;-68.937;-69.861;-74.764;-74.764;-71.922;-75.520;-72.836;-72.828;-72.513;-76.137;-79.487;-77.667;-80.632;-84.520;-78.275;-80.818;-80.818;-78.414;-79.529;-77.305;-78.053;-77.696;-81.643;-81.190;-77.652;-74.325;-73.896;-78.251;-80.993;-80.993;-75.785;-77.464;-84.543;-79.174;-74.493;-77.723;-71.716;-69.539;-80.237;-75.659;-72.803;-73.394;-73.394;-72.964;-69.119;-71.650;-73.476;-74.831;-77.527;-69.837;-65.495;-65.328;-61.453;-63.160;-62.276;-62.276;-63.528;-59.983;-59.308;-59.583;-59.780;-62.048;-66.657;-67.195;-68.501;;;Liabilities to Other Financial Coporation;38
39;;Saham dan Modal lainnya;-367.324;-366.842;-358.036;-360.687;-358.235;-358.548;-368.484;-379.141;-394.516;;-404.777;-404.312;-418.454;-418.454;-431.970;-433.855;-436.702;-442.814;-432.873;-450.912;-451.907;-475.814;-486.262;-514.003;-531.198;-525.849;-525.849;-552.060;-573.645;-565.851;-574.451;-580.555;-597.796;-623.880;-635.421;-662.722;-671.221;-687.432;-706.644;-706.644;-718.930;-717.569;-722.548;-722.109;-707.722;-693.487;-722.273;-766.307;-848.208;-849.574;-894.229;-920.793;-920.793;-935.973;-908.651;-902.086;-914.405;-921.849;-967.243;-944.312;-959.649;-988.486;-991.549;-1.006.376;-1.027.315;-1.027.315;-1.060.135;-1.074.954;-1.076.710;-1.058.064;-1.071.827;-1.082.895;-1.095.063;-1.138.087;-1.187.461;-1.136.936;-1.157.211;-1.173.001;-1.173.001;-1.202.936;-1.186.861;-1.216.670;-1.215.644;-1.244.902;-1.265.819;-1.250.876;-1.279.030;-1.265.852;-1.263.155;-1.284.827;-1.276.553;-1.276.553;-1.297.903;-1.311.252;-1.301.643;-1.307.691;-1.324.376;-1.338.723;-1.366.028;-1.386.914;-1.411.485;-1.418.979;-1.431.741;-1.451.818;-1.451.818;-1.461.942;-1.482.118;-1.468.307;-1.463.777;-1.476.396;-1.513.454;-1.531.594;-1.570.462;-1.600.645;-1.632.485;-1.588.046;-1.630.190;-1.630.190;-1.604.837;-1.621.554;-1.659.810;-1.653.646;-1.617.153;-1.642.570;-1.652.592;-1.699.964;-1.708.971;-1.716.213;-1.736.568;-1.736.063;-1.736.063;-1.656.344;-1.686.128;-1.838.238;-1.753.815;-1.734.148;-1.704.631;-1.787.013;-1.808.963;-1.840.329;-1.838.543;-1.816.555;-1.853.413;-1.853.413;-1.841.573;-1.835.674;-1.816.504;-1.832.618;-1.851.102;-1.873.387;-1.896.214;-1.901.788;-2.001.534;-1.999.195;-2.024.769;-2.023.572;-2.023.572;-2.024.051;-2.031.651;-1.942.799;-1.908.556;-1.916.744;-1.943.765;-1.972.462;-1.985.651;-1.972.896;;;Shares and Other Equity;39
40;;Lainnya Bersih 3);-127.233;-150.562;-153.773;-163.878;-115.414;-116.738;-111.334;-130.463;-139.665;;-144.330;-127.797;-121.460;-121.460;-98.137;-132.396;-149.448;-156.345;-144.397;-129.049;-122.601;-113.845;-81.378;-60.302;-59.896;-29.895;-29.895;-12.736;-8.767;3.412;-10.317;-4.444;21.956;39.270;45.186;22.536;23.120;23.918;17.778;17.778;23.215;37.512;21.937;37.399;30.173;36.822;41.894;38.741;35.317;36.283;19.538;34.146;34.146;34.679;29.598;31.322;19.609;22.431;23.921;45.636;35.632;42.576;26.032;9.999;49.733;49.733;43.774;44.390;32.309;39.581;47.107;25.783;48.433;40.344;34.972;21.970;19.684;57.313;57.313;48.884;28.548;43.782;83.606;81.698;116.936;62.520;82.188;83.143;75.767;68.419;79.272;79.272;62.534;67.571;85.363;133.798;93.167;145.234;111.283;127.761;136.523;140.443;145.268;160.930;160.930;131.667;115.347;134.224;149.350;163.229;152.700;140.662;147.650;134.184;147.836;161.020;184.424;184.424;208.096;199.705;193.515;196.941;204.004;229.279;229.361;218.613;233.861;239.108;237.096;280.135;280.135;211.164;217.160;297.454;269.938;345.373;346.110;372.738;447.705;495.404;539.053;623.557;713.554;713.554;734.220;744.822;755.861;822.514;798.017;829.915;830.674;819.535;820.481;812.737;781.586;1.007.279;1.007.279;1.004.204;1.019.336;988.323;1.069.596;1.032.563;1.028.054;1.023.514;1.080.711;1.117.290;;;Net Other Items 3);40
"1) Sejak periode data Januari 2012 dilakukan perluasan cakupan data BPR melalui penambahan BPR Syariah
2) Termasuk Bunga Pinjaman
3) Termasuk derivatif keuangan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1) Sejak periode data Januari 2012 dilakukan perluasan cakupan data BPR melalui penambahan BPR Syariah
2) Termasuk Bunga Pinjaman
3) Termasuk derivatif keuangan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1) Since January 2012, the data coverage was enhanced by including Rural Sharia Bank Data
2) Include Credit Interest
3) Include financial derivatives";;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
